[358.0, 5.5]	[352.0, 9.5]																																																																																																																																																								
[319.0, 8.0]	[313.0, 12.0]																																																																																																																																																								
[274.0, 19.0]	[268.5, 23.0]																																																																																																																																																								
[251.0, 28.5]	[244.5, 32.5]	[243.0, 36.5]																																																																																																																																																							
[195.5, 38.0]	[190.0, 34.0]	[185.0, 30.0]	[177.5, 30.0]	[175.0, 34.0]	[174.5, 38.0]	[173.0, 42.0]	[171.5, 46.0]	[171.0, 50.0]	[170.0, 54.0]	[167.0, 58.0]	[162.0, 62.0]	[169.5, 54.5]	[165.5, 59.5]	[161.5, 62.5]	[157.5, 64.5]	[153.5, 66.5]	[149.5, 67.0]	[145.5, 68.0]	[141.5, 70.0]	[137.5, 74.5]	[133.5, 80.0]	[129.5, 85.5]	[125.5, 93.0]	[121.5, 101.5]	[117.5, 109.5]	[118.5, 117.5]	[122.5, 123.0]	[120.0, 132.5]	[116.0, 137.5]	[112.0, 141.5]	[108.0, 144.0]	[104.0, 149.0]	[100.0, 152.0]	[96.0, 157.0]	[92.0, 160.0]	[88.0, 161.5]	[84.0, 162.0]	[80.0, 162.5]	[76.0, 163.5]	[72.0, 168.5]	[68.0, 175.5]	[64.0, 182.5]	[60.0, 189.5]	[56.0, 191.5]	[52.0, 196.5]	[48.0, 203.0]																																																																																																											
[44.0, 214.0]	[40.0, 218.0]	[36.0, 221.0]	[32.0, 228.0]																																																																																																																																																						
[26.5, 246.5]	[22.5, 252.0]	[18.5, 255.0]	[14.5, 258.5]																																																																																																																																																						
[15.0, 277.0]	[19.0, 280.5]	[23.0, 283.0]																																																																																																																																																							
[25.5, 308.0]	[29.5, 314.0]																																																																																																																																																								
[20.0, 359.5]	[16.0, 361.5]	[12.0, 363.5]	[8.0, 365.5]	[4.0, 366.0]	[0.0, 369.5]	[0.0, 372.5]	[4.0, 373.5]	[8.0, 375.0]	[12.0, 380.0]	[16.0, 384.0]	[20.0, 389.5]																																																																																																																																														
[21.5, 412.0]	[25.5, 415.0]	[29.5, 415.5]	[33.5, 417.5]	[37.5, 423.5]	[41.5, 429.5]	[45.5, 433.0]	[49.5, 437.0]	[53.5, 442.5]	[57.5, 450.5]	[61.5, 454.5]	[65.5, 460.0]	[69.5, 468.0]	[73.5, 474.5]	[77.5, 478.5]	[81.5, 483.0]	[85.5, 487.5]	[89.5, 490.0]	[93.5, 493.5]	[97.5, 496.0]	[101.5, 498.5]	[105.5, 501.5]	[109.5, 504.0]	[113.5, 507.0]	[117.5, 509.5]	[121.5, 512.0]	[125.5, 515.0]	[129.5, 517.5]	[133.5, 519.5]	[137.5, 522.0]	[141.5, 523.5]	[145.5, 526.0]	[149.5, 529.0]	[153.5, 530.5]	[157.5, 531.0]	[161.5, 529.5]	[165.5, 527.5]	[169.5, 525.0]	[173.5, 524.0]	[177.5, 523.0]	[181.5, 520.5]	[185.5, 519.5]	[189.5, 518.0]	[193.5, 516.5]	[197.5, 515.5]	[201.5, 514.5]	[205.5, 514.0]	[209.5, 514.0]	[213.5, 514.0]	[217.5, 514.0]	[221.5, 514.5]	[225.5, 520.5]	[229.5, 521.5]	[233.5, 522.0]	[237.5, 522.0]	[241.5, 522.0]	[245.5, 520.5]	[249.5, 520.5]	[253.5, 520.0]	[257.5, 517.5]	[261.5, 513.5]	[265.5, 512.0]	[269.5, 511.5]	[273.5, 510.5]	[277.5, 510.0]	[281.5, 507.5]	[281.0, 508.0]	[282.0, 505.5]	[286.0, 504.5]	[290.0, 504.0]	[294.0, 504.0]	[298.0, 504.0]	[302.0, 501.0]	[306.0, 499.0]	[310.0, 499.5]	[314.0, 501.5]	[318.0, 502.0]	[322.0, 502.0]	[326.0, 502.0]	[330.0, 503.0]	[334.0, 505.5]	[338.0, 511.0]	[340.5, 520.5]	[344.5, 525.5]	[348.5, 528.0]	[352.5, 528.5]	[356.5, 528.5]	[360.5, 528.0]	[364.5, 528.0]	[368.5, 528.0]	[372.5, 528.0]	[376.5, 528.5]	[380.5, 528.5]	[384.5, 528.5]	[388.5, 528.5]	[392.5, 528.5]	[396.5, 531.5]	[400.5, 535.0]	[404.5, 538.0]																																																							
[393.5, 529.0]	[397.5, 533.0]	[403.5, 537.0]	[406.0, 541.0]	[407.0, 545.0]	[408.0, 549.0]	[408.5, 553.0]	[408.0, 557.0]	[405.5, 561.0]	[404.0, 565.0]	[403.5, 569.0]	[403.5, 573.0]	[403.5, 577.0]	[403.5, 581.0]	[403.5, 585.0]	[403.0, 589.0]	[401.0, 593.0]	[399.0, 597.0]	[399.0, 601.0]	[398.5, 605.0]	[398.0, 609.0]	[398.0, 613.0]	[397.5, 617.0]	[398.0, 621.0]	[399.0, 625.0]	[402.5, 629.0]	[407.0, 633.0]	[411.5, 637.0]	[416.0, 641.0]	[425.0, 645.0]	[429.0, 649.0]	[430.5, 653.0]	[432.5, 657.0]	[436.5, 661.0]	[441.5, 665.0]	[443.5, 669.0]	[444.0, 673.0]	[444.0, 677.0]	[443.0, 681.0]	[443.0, 685.0]	[445.0, 689.0]	[447.5, 693.0]	[450.5, 697.0]	[454.5, 701.0]	[456.5, 705.0]	[458.0, 709.0]	[459.5, 713.0]	[462.0, 717.0]	[461.5, 721.0]	[456.0, 725.0]	[452.5, 729.0]	[453.5, 733.0]	[459.0, 737.0]	[461.0, 741.0]	[461.0, 745.0]	[464.5, 749.0]	[467.5, 753.0]	[469.5, 757.0]	[469.0, 761.0]	[469.0, 765.0]	[467.5, 769.0]	[464.0, 773.0]	[459.0, 777.0]	[456.5, 781.0]	[453.0, 785.0]	[448.5, 789.0]	[448.5, 793.0]	[448.5, 797.0]	[448.5, 801.0]	[448.5, 805.0]	[448.5, 809.0]	[448.5, 813.0]	[447.0, 817.0]	[445.0, 821.0]	[442.5, 825.0]	[440.0, 829.0]	[439.5, 833.0]	[438.0, 837.0]	[437.5, 841.0]	[437.0, 845.0]	[437.0, 849.0]	[437.0, 853.0]	[437.0, 857.0]	[437.0, 861.0]	[437.0, 865.0]	[439.0, 869.0]	[445.0, 873.0]	[448.5, 877.0]	[451.5, 881.0]	[454.0, 885.0]	[456.5, 889.0]	[458.5, 893.0]	[460.0, 897.0]	[462.0, 901.0]	[462.5, 905.0]	[463.0, 909.0]	[465.0, 913.0]	[466.0, 917.0]	[468.0, 921.0]	[473.0, 925.0]	[476.5, 929.0]	[477.0, 933.0]	[477.0, 937.0]	[477.5, 941.0]	[476.0, 945.0]	[475.5, 949.0]	[475.0, 953.0]	[477.5, 957.0]	[478.5, 961.0]	[479.5, 965.0]	[481.0, 969.0]	[483.0, 973.0]	[483.5, 977.0]	[483.5, 981.0]	[483.5, 985.0]	[483.5, 989.0]	[483.5, 993.0]	[484.0, 997.0]	[485.5, 1001.0]	[486.5, 1005.0]	[488.0, 1009.0]	[489.0, 1013.0]	[492.0, 1017.0]	[493.5, 1021.0]	[495.5, 1025.0]	[498.5, 1029.0]	[503.0, 1033.0]	[507.5, 1037.0]	[508.5, 1041.0]	[509.0, 1045.0]	[510.5, 1049.0]	[512.5, 1053.0]	[514.5, 1057.0]	[516.5, 1061.0]	[518.5, 1065.0]	[520.5, 1069.0]	[522.5, 1073.0]	[524.5, 1077.0]	[527.0, 1081.0]	[529.5, 1085.0]	[532.5, 1089.0]	[533.5, 1093.0]	[533.5, 1097.0]	[531.5, 1101.0]	[528.5, 1105.0]	[528.5, 1109.0]	[529.0, 1113.0]	[531.0, 1117.0]	[534.0, 1121.0]	[537.5, 1125.0]	[541.0, 1129.0]	[544.5, 1133.0]	[548.5, 1137.0]	[551.5, 1141.0]
[563.0, 1141.5]	[573.0, 1137.5]																																																																																																																																																								
[590.0, 1135.5]	[594.0, 1131.5]																																																																																																																																																								
[529.5, 1114.5]	[533.5, 1120.0]	[537.5, 1124.5]	[541.5, 1129.0]	[545.5, 1133.5]	[549.5, 1138.5]	[553.5, 1141.5]	[557.5, 1141.5]	[561.5, 1141.5]	[565.5, 1141.0]	[569.5, 1139.0]	[573.5, 1137.5]	[577.5, 1137.0]	[581.5, 1136.5]	[585.5, 1136.0]	[589.5, 1136.0]	[593.5, 1132.0]	[597.5, 1131.0]	[601.5, 1131.5]	[605.5, 1132.5]	[609.5, 1132.0]	[613.5, 1131.0]	[617.5, 1131.0]	[621.5, 1132.5]	[625.5, 1133.0]	[629.5, 1133.0]	[633.5, 1133.0]	[637.5, 1131.0]	[641.5, 1129.5]	[645.5, 1129.0]	[649.5, 1127.5]	[653.5, 1126.5]	[657.5, 1125.5]	[661.5, 1125.5]	[665.5, 1124.5]	[669.5, 1121.0]	[673.5, 1117.5]	[677.5, 1113.5]	[681.5, 1110.0]	[685.5, 1106.0]	[689.5, 1102.5]	[693.5, 1098.5]	[697.5, 1094.0]	[701.5, 1089.5]	[705.5, 1085.5]	[709.5, 1081.0]	[713.5, 1076.5]	[717.5, 1070.5]																																																																																																										
[721.0, 1055.0]	[725.0, 1050.5]	[729.0, 1045.5]	[733.0, 1043.0]	[737.0, 1040.5]	[741.0, 1039.0]	[745.0, 1034.5]																																																																																																																																																			
[751.5, 992.0]	[747.5, 988.5]	[747.0, 986.5]	[751.0, 983.5]	[755.0, 981.0]	[759.0, 979.0]	[763.0, 977.5]	[767.0, 976.0]	[771.0, 974.5]	[775.0, 974.0]	[779.0, 973.0]	[783.0, 970.5]	[787.0, 968.0]																																																																																																																																													
[769.0, 975.0]	[759.0, 979.0]	[751.5, 983.0]	[747.0, 987.0]	[748.5, 991.0]	[754.0, 995.0]	[754.0, 999.0]	[753.5, 1003.0]	[753.0, 1007.0]	[750.5, 1011.0]	[749.5, 1015.0]	[749.0, 1019.0]	[748.0, 1023.0]	[747.5, 1027.0]	[746.5, 1031.0]	[745.0, 1035.0]	[739.0, 1039.0]	[733.0, 1043.0]	[727.5, 1047.0]	[724.5, 1051.0]	[721.0, 1055.0]	[720.5, 1059.0]	[719.5, 1063.0]	[719.5, 1067.0]	[717.5, 1071.0]	[714.5, 1075.0]	[711.5, 1079.0]	[708.0, 1083.0]	[704.0, 1087.0]	[700.5, 1091.0]	[697.0, 1095.0]	[693.0, 1099.0]	[689.0, 1103.0]	[684.5, 1107.0]	[680.5, 1111.0]	[676.0, 1115.0]	[671.5, 1119.0]	[667.5, 1123.0]																																																																																																																				
[532.0, 1100.5]	[528.0, 1106.0]																																																																																																																																																								
[533.5, 1090.5]	[529.5, 1084.0]	[525.5, 1077.5]	[521.5, 1070.5]	[517.5, 1062.5]	[513.5, 1054.5]	[509.5, 1047.0]																																																																																																																																																			
[505.0, 1035.5]	[501.0, 1030.5]	[497.0, 1027.0]	[493.0, 1018.5]	[489.0, 1012.5]																																																																																																																																																					
[483.0, 972.5]	[479.0, 963.0]																																																																																																																																																								
[475.0, 926.5]	[471.0, 923.0]	[467.0, 919.0]	[463.0, 908.0]	[461.5, 899.5]	[457.5, 890.0]	[453.5, 883.5]	[449.5, 878.0]	[445.5, 873.0]	[441.5, 870.0]	[437.5, 866.5]																																																																																																																																															
