[489.0, 18.0]	[468.0, 30.0]	[484.5, 24.0]	[496.5, 21.0]	[508.5, 19.5]	[520.5, 19.5]	[532.5, 22.5]	[544.5, 28.5]	[544.5, 25.5]	[528.0, 18.0]	[508.5, 15.0]	[496.5, 16.5]	[484.5, 19.5]	[472.5, 27.0]	[460.5, 33.0]	[448.5, 36.0]	[444.0, 45.0]	[439.5, 51.0]	[414.0, 63.0]	[397.5, 75.0]	[393.0, 87.0]	[393.0, 99.0]	[382.5, 111.0]																																																																												
[373.5, 123.0]	[366.0, 133.5]	[363.0, 133.5]	[366.0, 121.5]	[381.0, 108.0]	[381.0, 96.0]	[384.0, 91.5]	[384.0, 91.5]	[388.5, 103.5]																																																																																										
[394.5, 81.0]	[406.5, 67.5]	[418.5, 61.5]	[430.5, 55.5]	[442.5, 51.0]	[454.5, 48.0]	[466.5, 45.0]	[478.5, 43.5]	[490.5, 42.0]																																																																																										
[501.0, 52.5]	[513.0, 43.5]	[525.0, 42.0]	[537.0, 46.5]	[535.5, 49.5]	[543.0, 52.5]	[552.0, 70.5]																																																																																												
[552.0, 45.0]	[564.0, 45.0]	[576.0, 48.0]	[588.0, 51.0]	[600.0, 55.5]	[612.0, 61.5]	[624.0, 67.5]	[636.0, 76.5]	[646.5, 87.0]	[657.0, 97.5]	[657.0, 109.5]	[661.5, 117.0]	[667.5, 121.5]	[664.5, 135.0]	[670.5, 138.0]	[664.5, 126.0]																																																																																			
[669.0, 102.0]	[657.0, 96.0]																																																																																																	
[645.0, 84.0]	[666.0, 99.0]	[673.5, 111.0]	[676.5, 123.0]	[679.5, 135.0]	[681.0, 147.0]	[684.0, 159.0]	[691.5, 171.0]	[694.5, 181.5]	[699.0, 193.5]	[706.5, 207.0]	[711.0, 217.5]	[712.5, 229.5]	[712.5, 241.5]	[709.5, 253.5]	[706.5, 265.5]	[709.5, 274.5]	[721.5, 280.5]	[733.5, 295.5]	[745.5, 309.0]	[757.5, 322.5]	[769.5, 336.0]	[781.5, 351.0]	[793.5, 364.5]	[805.5, 378.0]	[817.5, 393.0]	[829.5, 406.5]	[841.5, 420.0]	[853.5, 435.0]	[865.5, 448.5]	[877.5, 462.0]	[889.5, 477.0]	[901.5, 480.0]	[913.5, 481.5]	[925.5, 483.0]	[937.5, 492.0]	[949.5, 507.0]	[961.5, 522.0]	[973.5, 537.0]	[985.5, 553.5]	[997.5, 568.5]	[988.5, 573.0]	[976.5, 558.0]	[964.5, 543.0]	[952.5, 529.5]	[940.5, 514.5]	[928.5, 504.0]	[916.5, 504.0]	[915.0, 502.5]	[927.0, 496.5]	[939.0, 505.5]	[951.0, 520.5]	[963.0, 535.5]	[975.0, 550.5]	[987.0, 565.5]	[999.0, 576.0]																																											
[996.0, 600.0]	[1005.0, 612.0]	[1015.5, 624.0]																																																																																																
[1002.0, 673.5]	[999.0, 673.5]	[991.5, 661.5]	[994.5, 664.5]	[987.0, 661.5]	[981.0, 660.0]	[973.5, 645.0]	[970.5, 633.0]	[954.0, 625.5]																																																																																										
[948.0, 612.0]	[955.5, 622.5]	[958.5, 634.5]	[963.0, 646.5]	[963.0, 637.5]	[973.5, 640.5]																																																																																													
[1020.0, 627.0]	[1008.0, 613.5]	[996.0, 598.5]	[988.5, 583.5]	[976.5, 570.0]	[964.5, 552.0]	[952.5, 540.0]	[940.5, 525.0]	[928.5, 511.5]	[916.5, 513.0]	[913.5, 520.5]	[919.5, 532.5]	[922.5, 544.5]																																																																																						
[912.0, 537.0]	[894.0, 517.5]																																																																																																	
[900.0, 504.0]	[898.5, 516.0]	[904.5, 523.5]	[909.0, 523.5]	[910.5, 535.5]	[919.5, 547.5]	[939.0, 565.5]	[951.0, 571.5]	[963.0, 580.5]	[975.0, 594.0]	[987.0, 607.5]	[987.0, 609.0]	[969.0, 595.5]	[957.0, 583.5]	[955.5, 580.5]	[960.0, 592.5]	[970.5, 604.5]	[982.5, 616.5]	[993.0, 628.5]	[1005.0, 640.5]																																																																															
[975.0, 697.5]	[979.5, 709.5]	[991.5, 717.0]	[994.5, 729.0]	[1000.5, 726.0]	[996.0, 714.0]																																																																																													
[1014.0, 729.0]	[1017.0, 741.0]	[1012.5, 739.5]	[1012.5, 727.5]	[1000.5, 729.0]	[993.0, 720.0]	[991.5, 711.0]	[978.0, 708.0]	[975.0, 709.5]	[972.0, 697.5]	[972.0, 696.0]																																																																																								
[946.5, 687.0]	[948.0, 688.5]	[940.5, 688.5]	[939.0, 676.5]	[936.0, 664.5]	[934.5, 652.5]	[933.0, 640.5]	[928.5, 631.5]	[927.0, 619.5]	[933.0, 619.5]	[927.0, 613.5]																																																																																								
[946.5, 594.0]	[957.0, 606.0]	[970.5, 618.0]	[979.5, 630.0]	[993.0, 642.0]	[1005.0, 654.0]	[1009.5, 666.0]	[1006.5, 678.0]	[1009.5, 675.0]																																																																																										
[981.0, 754.5]	[985.5, 760.5]	[979.5, 765.0]	[981.0, 777.0]	[984.0, 789.0]	[985.5, 801.0]	[987.0, 813.0]	[993.0, 819.0]	[990.0, 831.0]	[991.5, 843.0]	[993.0, 855.0]	[994.5, 867.0]	[996.0, 879.0]	[999.0, 891.0]	[1000.5, 903.0]	[1003.5, 915.0]	[1005.0, 927.0]	[1006.5, 939.0]	[1009.5, 951.0]	[1011.0, 963.0]	[1014.0, 975.0]	[1015.5, 987.0]	[1017.0, 999.0]																																																																												
[1000.5, 994.5]	[994.5, 987.0]	[997.5, 975.0]	[996.0, 963.0]																																																																																															
[991.5, 979.5]	[984.0, 975.0]	[982.5, 963.0]	[981.0, 951.0]	[979.5, 939.0]																																																																																														
[967.5, 952.5]	[969.0, 964.5]	[970.5, 976.5]	[973.5, 990.0]																																																																																															
[961.5, 982.5]	[961.5, 970.5]	[960.0, 958.5]	[958.5, 946.5]	[949.5, 933.0]	[948.0, 921.0]	[949.5, 903.0]	[948.0, 891.0]	[948.0, 888.0]	[952.5, 889.5]	[952.5, 901.5]	[954.0, 913.5]	[955.5, 925.5]	[951.0, 937.5]	[943.5, 939.0]																																																																																				
[933.0, 931.5]	[934.5, 930.0]	[939.0, 924.0]	[933.0, 933.0]	[930.0, 954.0]	[942.0, 952.5]																																																																																													
[933.0, 964.5]	[928.5, 963.0]	[940.5, 961.5]	[952.5, 961.5]	[949.5, 972.0]																																																																																														
[957.0, 981.0]	[955.5, 969.0]	[945.0, 949.5]	[942.0, 949.5]	[937.5, 945.0]	[930.0, 942.0]	[928.5, 930.0]	[930.0, 918.0]	[927.0, 900.0]	[928.5, 888.0]	[925.5, 892.5]	[919.5, 883.5]	[931.5, 883.5]	[921.0, 891.0]	[922.5, 903.0]	[922.5, 916.5]	[924.0, 928.5]	[925.5, 940.5]	[927.0, 952.5]	[928.5, 970.5]	[930.0, 982.5]	[931.5, 984.0]	[933.0, 982.5]	[939.0, 985.5]	[951.0, 985.5]	[969.0, 991.5]																																																																									
[916.5, 987.0]	[904.5, 987.0]	[904.5, 982.5]	[907.5, 981.0]	[907.5, 969.0]	[904.5, 957.0]	[903.0, 945.0]	[901.5, 933.0]	[900.0, 921.0]	[898.5, 909.0]	[897.0, 897.0]	[897.0, 885.0]	[901.5, 874.5]	[889.5, 873.0]	[889.5, 873.0]	[891.0, 885.0]	[891.0, 897.0]	[894.0, 909.0]																																																																																	
